127.0.0.1 - - [20/May/2022:16:47:35 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/ HTTP/1.1" 200 283430
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/css/style.css HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-content/plugins/mas-woocommerce-brands/assets/css/style4b68.css?ver=1.0.4 HTTP/1.1" 200 3949
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/css/font-electro7c45.css?ver=3.0.6 HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-includes/css/dist/block-library/style.min69c8.css?ver=5.8.4 HTTP/1.1" 200 80574
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-styled03b.css?ver=5.5.1 HTTP/1.1" 200 3276
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/css/rs6e434.css?ver=6.4.11 HTTP/1.1" 200 61366
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/css/all.min7c45.css?ver=3.0.6 HTTP/1.1" 200 58944
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/animate.css/animate.min7c45.css?ver=3.0.6 HTTP/1.1" 200 80058
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/css/colors/yellow.min7c45.css?ver=3.0.6 HTTP/1.1" 200 36855
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-styled03b.css?ver=5.5.1 HTTP/1.1" 200 182136
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:36 +0700] "GET /LdStore/template/user/wp-content/themes/electro/style.min7c45.css?ver=3.0.6 HTTP/1.1" 200 963863
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-includes/js/jquery/jquery-migrate.mind617.js?ver=3.3.2 HTTP/1.1" 200 11224
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/js_composer/assets/css/js_composer.minbdeb.css?ver=6.7.0 HTTP/1.1" 200 550060
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-includes/js/jquery/jquery.minaf6c.js?ver=3.6.0 HTTP/1.1" 200 89521
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cartbdeb.js?ver=6.7.0 HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min4c7e.js?ver=5.6.2 HTTP/1.1" 200 3037
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rbtools.minb7f2.js?ver=6.4.8 HTTP/1.1" 200 169797
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.mincf7c.js?ver=2.7.0-wc.5.6.2 HTTP/1.1" 200 9545
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.mincf3c.js?ver=2.1.4-wc.5.6.2 HTTP/1.1" 200 1834
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min4c7e.js?ver=5.6.2 HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min4c7e.js?ver=5.6.2 HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/js/jquery.waypoints.min7c45.js?ver=3.0.6 HTTP/1.1" 200 11330
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/js/electro.min7c45.js?ver=3.0.6 HTTP/1.1" 200 24374
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/js/owl.carousel.min7c45.js?ver=3.0.6 HTTP/1.1" 200 52140
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/js/typeahead.bundle.min7c45.js?ver=3.0.6 HTTP/1.1" 200 44358
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/js/handlebars.min7c45.js?ver=3.0.6 HTTP/1.1" 200 68582
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-includes/js/wp-embed.min69c8.js?ver=5.8.4 HTTP/1.1" 200 1426
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/js/hidemaxlistitem.min7c45.js?ver=3.0.6 HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.minbdeb.js?ver=6.7.0 HTTP/1.1" 200 23068
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-includes/js/jquery/ui/core.min35d0.js?ver=1.12.1 HTTP/1.1" 200 20787
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-includes/js/jquery/ui/mouse.min35d0.js?ver=1.12.1 HTTP/1.1" 200 3380
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/woocommerce/assets/js/zoom/jquery.zoom.min13f3.js?ver=1.7.21-wc.5.6.2 HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [20/May/2022:16:47:37 +0700] "GET /LdStore/template/user/wp-content/plugins/woocommerce/assets/js/frontend/price-slider.min4c7e.js?ver=5.6.2 HTTP/1.1" 200 2142
