127.0.0.1 - - [12/May/2022:22:43:59 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:00 +0700] "GET /LdStore/ HTTP/1.1" 200 282587
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:00 +0700] "GET /LdStore/template/user/wp-content/themes/electro/style.min7c45.css?ver=3.0.6 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:00 +0700] "GET /LdStore/template/user/wp-content/plugins/revslider/public/assets/js/rs6.mine434.js?ver=6.4.11 HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:00 +0700] "GET /LdStore/template/user/images/ld-store-logo-bluemind.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:00 +0700] "GET /LdStore/template/user/images/Garmin-Fenix-5x-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:00 +0700] "GET /LdStore/template/user/wp-content/themes/electro/assets/vendor/fontawesome/webfonts/fa-solid-900.html HTTP/1.1" 404 604
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/fenix-5x-plus-dlc-ti-gray-ldstore.vn-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/5042813-SIL19.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/fenix-5-plus-dlc-black-ldstore.vn-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/fenix-5-ldstore.vn-01%20(1).jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/Garmin-Fenix-3-Sport-Band-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/fenix-5-ldstore.vn-01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/fenix-5s-plus-black-image-03-ldstore.vn_.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/amazfit-GTR-rosegold-ldstore-12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/garmin-approach-s62-black-image-ldstore-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/amazfit-ares-ldstore-1.png HTTP/1.1" 200 120698
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/amazfit-GTR-42mm-black-ldstore-12.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/huami-amazfit-gtr-2-ldstore-17.png HTTP/1.1" 200 234466
0:0:0:0:0:0:0:1 - - [12/May/2022:22:44:01 +0700] "GET /LdStore/template/user/images/amazfit-neo-ldstore-2.png HTTP/1.1" 304 -
